Item Code,Old Code,Description,UOM,Item Type,Forecasted,Manufacturer,Buisness Unit
1-11554-0,PS3851ULT,"ULTIMATE SINGLE SPIKE, TUBING, HAND PIECE WITH INSTRUMENT SE",Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11567-0,PS4611,LIGHT HANDLE COVER - SINGLE PACK,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11606-0,VM-0014906,"DISPOSABLE SPO2 SENSORS, PEDIATRIC (1-PT) BOX/24",Ea,TRD,No,VIAMED LIMITED,Medical Equipment
1-11612-0,VM-012311,"DISPOSABLE SPO2 SENSORS ADULT DOLPHIN 2000,2311 BX 24",Ea,TRD,No,VIAMED LIMITED,Medical Equipment
2-10096-0,JM-C3104A,"NURSES CAP ADJUSTABLE 18-20 GSM (GREEN OR BLUE), 100/PK",Ea,MFG,No,,Medical Disposables/Classic
2-10130-0,JM-FM-6,MASK FACE ANAESTHETIC TRANSP. SILICONE W/O HOOK #6,Ea,MFG,No,,Medical Disposables/Classic
,,,,MFG,,,
2-10327-0,JM-C2405-1,"CATHETER SUCTION STRAIGHT,  CONT. VALVE, ROUND SOFT: FR 5",Ea,MFG,Yes,,Medical Disposables/Classic
,,,,MFG,,,
2-10370-0,JM-C2416-1,"CATHETER SUCTION STRAIGHT,  CONT. VALVE, ROUND SOFT: FR 16",Ea,MFG,Yes,,Medical Disposables/Classic
,,,,MFG,,,
2-10447-0,JM-NY0028,"TUBE A/WAY,NASO PHRYNGEAL, SLCNE, L:12-15cm, Sz:CH 28(6.5mm)",Ea,MFG,No,,Medical Disposables/Classic
2-10448-0,JM-NY0030,"TUBE AIRWAY,NASO PHARYNGEAL, SLCNE, L:12-15cm, Sz:CH 30(7mm)",Ea,MFG,No,,Medical Disposables/Classic
2-10451-0,JM-TH209-20,"THORACIC CATHETER RIGHT ANGLED, 25-15CM LENGTH, SIZE :CH 20",Ea,MFG,Yes,,Medical Disposables/Classic
2-10452-0,JM-TH209-24,"THORACIC CATHETER RIGHT ANGLED, 30-50CM LENGTH, SIZE :CH 24",Ea,MFG,Yes,,Medical Disposables/Classic
2-10453-0,JM-TH210-20,"THORACIC DRAINAGE CATHETER STRAIGHT SIZE: 20, CS/50",Ea,MFG,Yes,,Medical Disposables/Classic
2-10503-0,JM-T3310-C,TRAY SUTURE REMOVAL 48/CS,Ea,MFG,Yes,,Medical Disposables/Classic
2-10557-0,JM-C2420N,"CATHETER NELATON  20FR,  CS/500",Ea,MFG,Yes,,Medical Disposables/Classic
2-10559-0,JM-C2422N,"CATHETER NELATON 22 FR, CS/500",Ea,MFG,Yes,,Medical Disposables/Classic
2-10588-0,JM-CF3418-5,"CATHETER FOLLEY, 2-WAY, SILICONE, 5-15mL, SIZE: 18 (SO31454)",Ea,MFG,Yes,,Medical Disposables/Classic
2-11645-0,JM-PS3603,Silcone/PVC Co2 Gas Tubng 150-200cm Cmptbl w/Elect. Insultor,Ea,MFG,Yes,,Medical Disposables/Classic
2-11811-0,JM-C2409-6Y,"CLOSED SUCTION CATHETER NEONATE WITH ET ADOPTER, 6FR",Ea,MFG,Yes,,Medical Disposables/Classic
2-10036-0,JM-WD100,"SILICONE HUBLESS DRAIN, MULTI-CHANNEL w/SOLID CORE Sz:15",Ea,MFG,No,,Medical Disposables/Classic
2-10072-0,JM-C2810,"RYLES TUBE 10 FR, 120CM 100/CS",Ea,MFG,Yes,,Medical Disposables/Classic
2-10315-0,JM-AW-5,"AIRWAY, GUEDEL PLASTIC N-STERILE SIZE:5 (JM-Y10005)",Ea,MFG,No,,Medical Disposables/Classic
2-10320-0,JM-BMI,"BAG RESUSCITATION FOR INFANT STRL,Sz: 300ml-Tidal Vol: 150ml",Ea,MFG,Yes,,Medical Disposables/Classic
2-10322-0,JM-BMP,"BAG RESUSCITATION FOR PEDIA. STRL,Sz:2600ml -Tidal Vol:450ml",Ea,MFG,Yes,,Medical Disposables/Classic
2-11637-0,JM-DRF1010-SBA,"HYDROPHILIC POLYURETHANE FOAM DRESING 10x10cm, w/Sil. Border",Ea,MFG,No,,Medical Disposables/Classic
2-10493-0,JM-Y2015D-1,"LARYNGEAL MASK, SIZE 1.5 DISPOSABLE, STERILE",Ea,MFG,No,,Medical Disposables/Classic
2-10525-0,JM-T4417-14,"TRACHEOSTOMY CARE KIT 14FR, STERILE 36/CS",Ea,MFG,No,,Medical Disposables/Classic
2-10666-0,JM-G0505-1205A,"Swab Gauze (100% Cotton) 5x5cm Str, 12 Ply, 5/pkt, Sterile",Ea,MFG,No,,Medical Disposables/Classic
2-12218-0,JM-AD-T300,"ADAPTER-TRI PORT NEONATE, STERILE, DISPOSABLE",Ea,MFG,No,,Medical Disposables/Classic
2-10963-0,JM-BB001,"Bath Basin,Disposable, Washable, Single Use",Ea,MFG,No,,Medical Disposables/Classic
2-11026-0,JM-DCFMALE-M,"DOCTOR & PHARMACIST COAT FEMALE, SIZE: MEDIUM (SP33428A)",Ea,MFG,No,,Medical Disposables/Classic
2-11046-0,JM-DS-L,"DELIVERY SUIT LARGE L. BLUE,65/35% COTTN/POLYESTER (SP33387)",Ea,MFG,No,,Medical Disposables/Classic
2-11047-0,JM-DS-M,"DELIVERY SUIT MED. L. BLUE,65/35% COTTN/POLYESTER (SP33386)",Ea,MFG,No,,Medical Disposables/Classic
2-11051-0,JM-EP-MED,"Eye Protector, Medium",Ea,MFG,No,,Medical Disposables/Classic
2-11074-0,JM-G2045-RM1A,"SURGICAL GOWN, Size: Medium, REINFORCED with Hand Towel",Ea,MFG,No,,Medical Disposables/Classic
2-11112-0,JM-NUBFEMALE-M,"NURSE UNIFORM B, FEM. MED. W (TOP/PANT) 50%COTN+50% POLYSTR",Ea,MFG,No,,Medical Disposables/Classic
2-11120-0,JM-P001-M,Pacifier Soother Premie Size Medium,Ea,MFG,No,,Medical Disposables/Classic
2-11158-0,JM-PGGIRL-S,"PATIENT SUIT CHILD (GIRL) SMALL, PINK, 65/35%-CTTN/POLYSTR",Ea,MFG,No,,Medical Disposables/Classic
2-11191-0,JM-SSB-XLA,SPINAL SUPPORT BRACE W/REINFORCING STAINLESS STEEL BACK XL,Ea,MFG,No,,Medical Disposables/Classic
2-11196-0,JM-T08,"TUBE T-DRAINAGE 45cm, Size: FG 08, DISPOSABLE (Silicone)",Ea,MFG,No,,Medical Disposables/Classic
2-11747-0,JM-TA1259,"TAPE ADHESIVE PAPER HYPOALLEGENIC, Sz:1.25cm*9m",Ea,MFG,No,,Medical Disposables/Classic
1-11517-0,PS3410,DILATING TIP TROCAR 10/11MMX100MM,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11932-0,JF-G2070B,"GOWN SURGEON, XXL, BLUE, W/HAND TOWEL, DISPBL, STRL",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11957-0,JF-UB800-L,"BAG URINARY, LEG LINKING, SZ 1000 ML , SINGLE USE",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11624-0,VM-4420711,NASAL SAMPLING CANNULA PEDIATRIC,Ea,TRD,No,VIAMED LIMITED,Medical Equipment
1-11626-0,VM-4420718,CO2 NASAL CANNULA WITH O2 DELIVERY FOR ADULT 25/BOX,Ea,TRD,No,VIAMED LIMITED,Medical Equipment
1-11781-0,WN-601-12284,"STERILE LAP SPONGE, PREWASHED,13THRED,45X45CM-4PLY,W/O X-RAY",Ea,TRD,Yes,WINNER INDUSTRIES (SHENZEN) CO,Medical Disposables/Classic
1-11793-0,WN-603-010040,"STERILE TRANSP. DRESSING W/WRITING PAPER, 10X12CM, W/O INPAD",Ea,TRD,Yes,WINNER INDUSTRIES (SHENZEN) CO,Medical Disposables/Classic
1-11854-0,DT-CC223020B0P,"CHROMIC CATGUT, BRN, 75CM, 3/0X20MM, RD NDL:1/2CRCLE",Ea,TRD,No,DEMETECH,
1-11912-0,JF-CF3406-3,"CATHETER FOLEY, 06 FR, 2WAY, SILICONIZD, DSPSBL STRL",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11989-0,JF-CF3418-30,CATHETER BALLOON FOLEY 18 FR 30ML 2-WAY SIL,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11616-0,VM-4330003,FLOW SENSOR DISP. W/HAMILTON G5 AND C2 VENTILATOR,Ea,TRD,No,VIAMED LIMITED,Medical Equipment
1-12031-0,JF-G4545-X1605,SWAB SPONGE LAPARATORMY RAY-TEC 45 X 45CM 16PLY STRL,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12075-0,JF-G1010-1202,"SPONGE GAUZE 4X4"", 12PLY, STERILE",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12164-0,JF-P23113,"BASIC PK II - B.TBL CVR, MAYO CVR, TOWEL, DRAPES",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12352-0,VAC 9720-211,S-SCORT DUET WITH UNIVERSAL HOLDER,Ea,TRD,Yes,VacSax Ltd,Medical Disposables/Classic
1-12431-0,19000792,CONTAINER EMPTY TPN PLASTIC BAG 500ML  WITH 3 LEADS FOR MANUAL US,Ea,TRD,Yes,,Medical Disposables/Classic
1-12432-0,19000794,CONTAINER EMPTY TPN PLASTIC BAG 250ML  WITH 3 LEADS FOR MANUAL US,Ea,TRD,Yes,,Medical Disposables/Classic
1-12477-0,JM-CT-16341-T,ADULT ANESTHESIA CIRCUIT CORRUGATED EXPENDABLE,Ea,TRD,No,FACTORY LOCAL  PURCHASES,Retail
1-12522-0,VY-4810VS,"MASK, ANES, VALUE, NEO SIZE 1, TOP VLV, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12539-0,VY-73319-HEL,"GAS SAMPLING LINE, 10FT, M/M, BOX OF 10",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12551-0,VY-A4JXOXXX,"CIRCUIT, ADULT EXP, 2L LF BAG, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12552-0,VY-A4UXOOXZ,"CIRCUIT, ADULT 108"" EXP HOSE, 2L LF BAG, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12556-0,VY-AFN18XXX,"CIRCUIT, ADULT LIMB-O, 72"" HOSE, 2L BAG, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12574-0,VY-AFPXXXXXXX5,"CIRCUIT, ADULT LIMB-O 108"" HOSE, 2L BAG, BOX OF 15",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12592-0,VY-GURXXXXX,"CIRCUIT, ADULT LIMB-O, 108"" HOSE, 2L, LF, BOX OF 15",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12598-0,VY-IN900020,"INFUSOR, PRESSURE, 1000 ML, CLEAR, 20/CS, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12618-0,VY-VJNXXXOX,"LIMB-0 RESPIRATORY CIRCUIT, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12621-0,VY-VJNXXXXX,"LIMB-0 RESPIRATORY CIRCUIT, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12625-0,VY-AFND8XXXP,"CIRCUIT, ADULT LIMB-072"" HOSE, 2L BAG, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12635-0,VY-AFPXXXXXXX6,"CIRCUIT, ADULT LIMB-0 108"" HOSE, 3L BAG, BOX OF 15",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12636-0,VY-AXXXX172,"CIRCUIT, ADULT 75"" EXP HOSE, 3L LF BAG, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12640-0,VY-GPDXXXXX,"CIRCUIT, ADULT LIMB-O, 72"" HOSE, 2L, LF, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12641-0,VY-GS2XXXXX,"CIRCUIT, ADULT LIMB-O, 108"" HOSE, 2L, LF, BOX OF 15",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
2-12444-0,EKF-HB CUVETTES,HAEMOGLOBINO-METER CUVETTES,Ea,TRD,Yes,EKF-diagnostic GmbH,Medical Disposables/Classic
2-12445-0,EKF-HB LOW CONTROL,HEMOCONTROL LOW CONTROL FOR HEMOGLUBINMETER INSTRUMENT,Ea,TRD,Yes,EKF-diagnostic GmbH,Medical Disposables/Classic
61677,WN-603-002508,"COTTON CREPE ELASTIC BANDAGE, 5CMX4.5M, 75G/M2, WITH 1 CLIP",Ea,TRD,Yes,WINNER INDUSTRIES (SHENZEN) CO,Medical Disposables/Classic
1-12615-0,VY-M1145070,"ANESTHESIA GSL, MULTIPATIENT 3M ', BOX OF 10",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12720-0,JF-B1001,"BRUSH FOR OPERATION STR. DISPOSABLE, 150/CS",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12727-0,JF-P23535-2,ARTHROSCOPY PACK WITH FLUID CONTROL POUCH,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12836-0,JM-AMFM8882,CPAP MASK ADULT FULL FACE W/INS. AND EXP. PORTS - LRG,Ea,MFG,Yes,,Medical Disposables/Classic
1-10141-1,JM-G2060B,"GOWN SURGICAL  BLUE, X-LARGE, STERILE",Ea,MFG,Yes,,Medical Disposables/Classic
1-12643-0,VAC 9910-1108,1108 1100MM 8 V CASCADE STAND - WITHOUT TUBING OR CANISTERS,Ea,TRD,Yes,VacSax Ltd,Medical Disposables/Classic
1-12648-0,VAC 9910-500,500MM 4 V CASCADE STAND WITH VACUUM CONTROLLER,Ea,TRD,Yes,VacSax Ltd,Medical Disposables/Classic
1-12651-0,VAC VAL-303,3 LITER BACTICLEAR® CASCADE LINER INCLUDING CASCADE TUBING SETS – BOX OF 20,Box,TRD,Yes,VacSax Ltd,Medical Disposables/Classic
1-12681-0,JF-X2600-80,"TUBING EXTENSION SET, MALE AND FEM. LUER LOCK, 100/CS",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12685-0,JF-T3310Z-A,TRAY SCISSORS REMOVAL,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12689-0,JF-BRE-4,BREATHING EXCERISER (VOLUMETRIC)4-5 LTR. FOR ADULT (SO31121),Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12704-0,JF-DRH1030,DRESSING HYDROCELLULAR SIZE: 10X30CM (SO31598)),Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12715-0,JF-S513508,"MULTI-AD FLUID DISPENSING SYSTEM, 20/CS",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12755-0,GN-550-000-011,"SIMPLYSTRONG NON AUTOMATIC RETRIEVAL BAG WITH DRAWSTRING 8IN X 8IN 750ML, BOX OF 10",Ea,TRD,No,GENICON,Medical Equipment
5-10013-0,MN-DS5-B4,DOCKING STATION DS5 4 SLOTS BASIC CONFIGURATION,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
5-10143-0,MN-F23CB,"HB200L ENDOSCOPE LIGHT LAMB ,  APPROXIMATELY EQUALS TO 300W XENON LIGHT SOURCE COLOR TEMPERATURE 6500K LAMP LIFE > 40000 HOURS AUTO DETECTION OF LIGHT GUIDE CABLE COMPATIBLE WITH OTHER BRAND CABLES",Ea,TRD,No,"Nanjing Mindray Bio-Medical Electronics Co., Ltd.",Medical Equipment
5-10231-0,SH-040-000492-00,3-LEAD ECG CABLE(NEO),Ea,TRD,No,Shenzhen Comen Medical Instruments Co.Ltd,Medical Equipment
1-12987-0,DIP-KP3MRTPL,"P3MR + TPL MESH 4,5X10 PLUG Ø 7 CM",Ea,TRD,Yes,DIPRO MEDICAL DEVICES S.r.l.,Medical Disposables/Classic
1-12991-0,DIP-KP3FMTPL,"P3FM + TPL MESH 4,5X10 PLUG Ø 7 CM",Ea,TRD,No,DIPRO MEDICAL DEVICES S.r.l.,Medical Equipment
1-13021-0,DIP-UCMCI-045,"NOT ABSORBABLE COMPOSITE POLYPROPYLENE MESH. Ø 4,5 CM",Ea,TRD,No,DIPRO MEDICAL DEVICES S.r.l.,Medical Equipment
1-12887-0,GN-533-005-935,GENISURGE (5MM MONO-POLAR) STRAIGHT SCISSORS WITH NON-RATCHETING HANDLE SINGLE-USE MONO-POLAR INSTRUMENTATION,Ea,TRD,No,GENICON,Medical Equipment
1-13160-0,JM-C2808-GW,"NASOJUJENAL FEEDING TUBE SIZE 8FR, LENGTH:120CM,TUBE TIP",Ea,MFG,No,,Medical Disposables/Classic
1-13181-0,ROM-P2,PROBE COVER WITH GIFTBOX (10PCS)/BOX,Ea,TRD,No,Rossmax International Ltd,Retail
