SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
19,4214252314700,"SYRINGE, 5 ML, CENTRAL LUER SLIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"41,24,412"
20,4214260801900,"SYRINGE, 20 ML, SIDE LUER SLIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"15,43,950"
21,4214252300500,"SYRINGE, 50 ML, SIDE LUER SLIP, AND FIXED GRADUATION, WITHOUT NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"1,82,99,915"
22,4214261900300,"SYRINGE, 3 ML, PREFILLED, WITH 3 ML, 0.9 % SALINE, FOR GENERAL IV FLUSH, DISPOSABLE",EA,ITEMIZED,"94,24,012"
23,4214261900700,"SYRINGE, 3 ML, PREFILLED, WITH 3 ML, 0.9 % SALINE, TO BE USED WITHIN A STERILE FIELD, DISPOSABLE",PC,ITEMIZED,"4,50,000"
24,4214261900500,"SYRINGE, 5 ML, PREFILLED, WITH 5 ML, 0.9 % SALINE, FOR GENERAL IV FLUSH, DISPOSABLE",EA,ITEMIZED,"1,87,47,867"
25,4231160001600,"SYRINGE, 5 ML, PREFILLED, WITH 5 ML, 0.9 % SALINE, TO BE USED WITHIN A STERILE FIELD, DISPOSABLE",EA,ITEMIZED,"8,69,307"
26,4214261900400,"SYRINGE, 10 ML, PREFILLED, WITH 10 ML, 0.9 % SALINE, FOR GENERAL IV FLUSH, DISPOSABLE",EA,ITEMIZED,"1,28,96,990"
27,4214261900600,"SYRINGE, 10 ML, PREFILLED, WITH 10 ML, 0.9 % SALINE, TO BE USED WITHIN A STERILE FIELD, DISPOSABLE",EA,ITEMIZED,"69,84,037"
28,4214261000100,"SYRINGE, ORAL, MEDICATION, 1 ML, CLEAN, WITH SEPARATE RIBBED TIP CAPS, LATEX-FREE, DUAL GRADUATIONS IN MILLILITERS, ORAL FEEDING, LUER TIP, AMBER TINT, DISPOSABLE",EA,ITEMIZED,"22,27,332"
29,4214261000000,"SYRINGE, ORAL, MEDICATION, 3 ML, CLEAN, WITH SEPARATE RIBBED TIP CAPS, LATEX-FREE, DUAL GRADUATIONS IN MILLILITERS, ORAL FEEDING, LUER TIP, AMBER TINT, DISPOSABLE",EA,ITEMIZED,"30,50,146"
30,4214261000300,"SYRINGE, ORAL, MEDICATION, 5 ML, CLEAN, WITH SEPARATE RIBBED TIP CAPS, LATEX-FREE, DUAL GRADUATIONS IN MILLILITERS, ORAL FEEDING, LUER TIP, AMBER TINT, DISPOSABLE",EA,ITEMIZED,"22,63,969"
31,4214261000900,"SYRINGE, ORAL, MEDICATION, 10 ML, CLEAN, WITH SEPARATE RIBBED TIP CAPS, LATEX-FREE, DUAL GRADUATIONS IN MILLILITERS, ORAL FEEDING, LUER TIP, AMBER TINT, DISPOSABLE",EA,ITEMIZED,"34,75,188"
32,4214261000200,"SYRINGE, ORAL, MEDICATION, 20 ML, CLEAN, WITH SEPARATE RIBBED TIP CAPS, LATEX-FREE, DUAL GRADUATIONS IN MILLILITERS, ORAL FEEDING, LUER TIP, AMBER TINT, DISPOSABLE",EA,ITEMIZED,"5,08,600"
33,4214262300200,"SYRINGE, ORAL, MEDICATION, 60 ML, CLEAN, WITH SEPARATE RIBBED TIP CAPS, LATEX-FREE, DUAL GRADUATIONS IN MILLILITERS, ORAL FEEDING, LUER TIP, AMBER TINT, DISPOSABLE",EA,ITEMIZED,"3,39,304"
34,4214252300400,"SYRINGE, 50-60 ML, CATHETER TIP, AND FIXED GRADUATION, DISPOSABLE, STERILE",EA,ITEMIZED,"1,08,50,321"
35,4229350600300,"SYRINGE, BULB, NEONATE, MANUAL ASPIRATOR, SOFT RUBBER, AND NARROW TIP SYRINGE, LATEX FREE, INDIVIDUALLY PACKED, DISPOSABLE, STERILE",EA,ITEMIZED,"64,330"
36,4214261500900,"SYRINGE, LUER LOCK, CONNECTOR, FEMALE TO FEMALE, RED, STERILE",EA,ITEMIZED,"3,78,200"
37,4214254500100,"SELF - RIGHTING LUER TIP CAP : LUER SELF - RIGHTING DESIGN FOR SECURE CAPPING OF SYRINGES NON - LATEX MATERIAL, WITHSTANDS FREEZING. RECLOSED AND STORED IN HOOD FOR LATER USE, SPECIFICATIONS : TPE (THERMOPLASTIC ELASTOMERIC).",EA,ITEMIZED,"7,93,018"
38,4214252314900,"SYRINGE, 1 ML, LUER SLIP, AND FIXED GRADUATION, WITH NEEDLE, G 26 X 3/8 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"35,16,552"
39,4214260900700,"SYRINGE, 3 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITH NEEDLE, G 21 X 1.5 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"24,42,000"
40,4214260900500,"SYRINGE, 3 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITH NEEDLE, G 22 X 1.5 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"7,57,675"
41,4214252300300,"SYRINGE, 3 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITH NEEDLE, G 23 X 1.25 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"8,83,42,342"
42,4214260801800,"SYRINGE, 5 ML, LUER LOCK TIP, AND FIXED GRADUATION, WITH NEEDLE, G 21 X 1.5 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"8,00,51,897"
43,4214252300100,"SYRINGE, 10 ML, LUER LOCK TIP, FIXED GRADUATION, WITH NEEDLE, G 21 X 1.5 IN, DISPOSABLE, STERILE",EA,ITEMIZED,"6,11,43,560"
44,4214252300200,"SYRINGE, 20 ML, LUER LOCK TIP, FIXED GRADUATION, WITH NEEDLE, G 21 X 1.5 IN, DISPOSABLE, STERILE",EA,ITEMIZED,"1,80,09,697"
45,4214260800900,"SYRINGE, AUTO DISABLE, 0.05 OR 0.1 ML, FIXED DOSE, FOR BCG, 3 PIECES, ATTACHED NEEDLE, SIZE: 27 G X 3/8 OR
EQUIVALENT, STERILE",EA,ITEMIZED,"51,02,200"
46,4214252307100,"SYRINGE, AUTO DISABLE, 0.5 ML, FIXED DOSE, FOR ALL IMMUNIZATION, EXCEPT BCG, 2 OR 3 PIECES, ATTACHED NEEDLE, SIZE: 25 G X 1 IN, OR EQUIVALENT, STERILE",EA,ITEMIZED,"1,88,99,110"
47,4214252300700,"SYRINGE, FOR INSULIN, 0.3 ML, FIXED GRADUATION, 1:30 UNITS, LATEX FREE, WITH NEEDLE SIZE G 31 X 6 MM,
DISPOSABLE, STERILE",EA,ITEMIZED,"36,31,780"
48,4214262700100,"SYRINGE, FOR INSULIN, 0.5 ML, FIXED GRADUATION, 1:100 UNITS, WITH NEEDLE, SIZE: G 29 X 0.5 INCH, DISPOSABLE,
STERILE",PC,ITEMIZED,"4,09,500"
49,4214252300800,"SYRINGE, FOR INSULIN, 0.5 ML, FIXED GRADUATION, 1:50 UNITS, LATEX FREE, WITH NEEDLE SIZE: G 31 X 6 MM,
DISPOSABLE, STERILE",EA,ITEMIZED,"27,78,072"
50,4214252300900,"SYRINGE, FOR INSULIN, 0.5 ML, FIXED GRADUATION, 1:50 UNITS, LATEX FREE, WITH NEEDLE SIZE: G 31 X 8 MM,
DISPOSABLE, STERILE",EA,ITEMIZED,"1,33,66,200"
51,4214261501000,"SYRINGE, FOR INSULIN, 0.5 ML, FIXED GRADUATION, WITH NEEDLE, SIZE: G 30 X 8 MM, DISPOSABLE, STERILE",EA,ITEMIZED,"16,75,885"
52,4214252303100,"SYRINGE, FOR INSULIN, 1 ML, FIXED GRADUATION, 1:100 UNITS, WITH NEEDLE, SIZE: G 29 X 0.5 INCH, DISPOSABLE,
STERILE",EA,ITEMIZED,"48,992"
53,4214252301100,"SYRINGE, FOR INSULIN, 1 ML, FIXED GRADUATION, 1:100 UNITS, WITH NEEDLE, SIZE: G 30 X 12.7 MM, DISPOSABLE,
STERILE",EA,ITEMIZED,"4,01,15,927"
54,4214252314800,"SYRINGE, FOR INSULIN, 1 ML, FIXED GRADUATION, 1:100 UNITS, WITH NEEDLE, SIZE: G 31 X 6 MM, DISPOSABLE,
STERILE",EA,ITEMIZED,"48,67,170"
55,4214252301000,"SYRINGE, FOR INSULIN, 1 ML, FIXED GRADUATION, 1:100 UNITS, WITH NEEDLE, SIZE: G 31 X 8 MM, DISPOSABLE,
STERILE",EA,ITEMIZED,"2,20,00,479"
56,4214261500800,"SYRINGE, FOR INSULIN, 1 ML, FIXED GRADUATION, WITH NEEDLE, SIZE: G 30 X 8 MM, DISPOSABLE, STERILE",EA,ITEMIZED,"15,29,025"
57,4214252311600,"SYRINGE, FOR TUBERCULIN 1 ML, 3 PIECES, LOCK END, AND FIXED GRADUATION, 1 : 100 UNITS, WITH NEEDLE, SIZE: G 26 X 5/8 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"78,25,385"
58,4214252309900,"SYRINGE, TUBERCULIN, 1 ML, 25 G X 5/8, SLIP TIP, DISPOSABLE, STERILE",EA,ITEMIZED,"13,42,927"
59,4214252100600,"NEEDLE, BUTTERFLY, SIZE 21G X 3/4 INCH, WITH TUBE 10-14 INCH, RETRACTABLE NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"4,41,414"
60,4214254700000,"NEEDLE, BUTTERFLY, SIZE 23G X 3/4 INCH, WITH TUBE 10-14 INCH, RETRACTABLE NEEDLE, DISPOSABLE, STERILE",PC,ITEMIZED,"3,40,000"
61,4111620004000,"NEEDLE, BUTTERFLY, SIZE 25G X 3/4 INCH, WITH TUBE 6-8 INCH, RETRACTABLE NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"2,80,000"
62,4111620004100,"NEEDLE, BUTTERFLY, SIZE 25G X 3/4 INCH, WITH TUBE 10-14 INCH, RETRACTABLE NEEDLE, DISPOSABLE, STERILE",EA,ITEMIZED,"13,59,172"
63,4222151213400,"NEEDLE, BUTTERFLY, 23 G X 0.75 INCH, WINGED, WITH SAFETY, LUER LOCK ADAPTOR, STERILE",EA,ITEMIZED,"15,22,066"
64,4214252306000,"NEEDLE, HYPODERMIC, SIZE: G18 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"2,21,68,703"
65,4214252311800,"NEEDLE, HYPODERMIC, SIZE: G19 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"22,29,900"
66,4214252305900,"NEEDLE, HYPODERMIC, SIZE: G20 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"17,32,655"
67,4214252305800,"NEEDLE, HYPODERMIC, SIZE: G21X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"43,83,821"
68,4214252305600,"NEEDLE, HYPODERMIC, SIZE: G22 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"25,20,778"
69,4214252311900,"NEEDLE, HYPODERMIC, SIZE: G23 X 1 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"46,57,705"
70,4214252312100,"NEEDLE, HYPODERMIC, SIZE: G25 X 5/8 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"31,68,897"
71,4222160406300,"NEEDLE, HYPODERMIC, SIZE: G25 X 1 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"22,92,152"
72,4214252312200,"NEEDLE, HYPODERMIC, SIZE: G25 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"15,74,840"
73,4214252305300,"NEEDLE, HYPODERMIC, SIZE: G26 X 0.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",PC,ITEMIZED,"1,07,293"
74,4214252312400,"NEEDLE, HYPODERMIC, SIZE: G27 X 0.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"1,07,320"
75,4214252313700,"NEEDLE, HYPODERMIC, SIZE: G30 X 0.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"30,580"
76,4222160407200,"NEEDLE, SAFETY, LUER LOCK, SIZE: G18 X 1-1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"14,59,000"
77,4222160407100,"NEEDLE, SAFETY, LUER LOCK, SIZE: G19 X 1 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"13,58,140"
78,4222160407300,"NEEDLE, SAFETY, LUER LOCK, SIZE: G20 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"7,36,657"
79,4222160407400,"NEEDLE, SAFETY, LUER LOCK, SIZE: G21 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"6,95,054"
80,4222160407500,"NEEDLE, SAFETY, LUER LOCK, SIZE: G22 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"12,79,100"
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
81,4222160407600,"NEEDLE, SAFETY, LUER LOCK, SIZE: G23 X 1.5 INCH, PACKING: INDIVIDUALLY WRAPPED, DISPOSABLE, STERILE",EA,ITEMIZED,"15,61,000"
82,4214252311700,"NEEDLE, SAFETY - NEONATE, MUST BE SAFE WITH UNIVERSAL CONNECTORS, MUST NOT FIT ENTERED TUBING, INDIVIDUAL PACKAGING, SIZE 18 G, DISPOSABLE, STERILE",EA,ITEMIZED,"2,23,239"
83,4214252309300,"NEEDLE, SAFETY - NEONATE, MUST BE SAFE WITH UNIVERSAL CONNECTORS, MUST NOT FIT ENTERED TUBING, INDIVIDUAL PACKAGING, SIZE 25 G, DISPOSABLE, STERILE",EA,ITEMIZED,"4,58,177"
84,4222160406900,"NEEDLE, SAFE, SHIELDED BLUNT, FOR USE WITH ARTERY BLOOD SAMPLING",EA,ITEMIZED,"2,26,442"
85,4214273100600,"NEEDLE, HUBER, SAFETY, FOR INFUSION, 22G X 1 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"30,442"
86,4214273100700,"NEEDLE, HUBER, SAFETY, FOR INFUSION, 22G X 0.75 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"19,942"
87,4214252312500,"NEEDLE, HUBER, SAFTEY, 20 G X 1 INCH, 90 DEGREE, WITH WINGS, WITH SHORT TUBING, STERILE",EA,ITEMIZED,"26,255"
88,4214252312600,"NEEDLE, HUBER, SAFTEY, 22 G X 0.75 INCH, 90 DEGREE, WITH WINGS, WITH SHORT TUBING, STERILE",EA,ITEMIZED,"79,074"
89,4214253606100,"NEEDLE, SCALPEL TIP, THIN WALL, 16G X 1 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"2,00,000"
90,4214253606000,"NEEDLE, SCALPEL TIP, THIN WALL, 18G X 1 1/2 INCH, DISPOSABLE, STERILE",EA,ITEMIZED,"17,96,640"
91,4222150500600,"NEEDLE, SCALP VEIN INFUSION (I.V. BUTTERFLY WITH WINGS) NEEDLE 24 G, LUER SLIP AND LOCK, POLYPROPYLENE NEEDLE HUB, NON-TOXIC, NON-PYROGENIC, DISPOSABLE, STERILE",EA,ITEMIZED,"8,54,000"
92,4222150500500,"NEEDLE, SCALP VEIN INFUSION (I.V. BUTTERFLY WITH WINGS) NEEDLE 26 G, LUER SLIP AND LOCK, POLYPROPYLENE NEEDLE HUB, NON-TOXIC, NON-PYROGENIC, DISPOSABLE, STERILE",EA,ITEMIZED,"9,83,160"
93,4222150500000,"NEEDLE, SCALP VEIN, 1-2 CM, LUER LOCK, 30 CM LONG TUBE AND PLUG, SIZE: G 19, PEEL PACK PACKING, DISPOSABLE,
STERILE",EA,ITEMIZED,"4,11,670"
94,4222150500100,"NEEDLE, SCALP VEIN, 1-2 CM, LUER LOCK, 30 CM LONG TUBE AND PLUG, SIZE: G 21, PEEL PACK PACKING, DISPOSABLE,
STERILE",EA,ITEMIZED,"9,30,272"
95,4222150500200,"NEEDLE, SCALP VEIN, 1-2 CM, LUER LOCK, 30 CM LONG TUBE AND PLUG, SIZE: G 23, PEEL PACK PACKING, DISPOSABLE,
STERILE",EA,ITEMIZED,"12,89,470"
96,4222150500300,"NEEDLE, SCALP VEIN, 1-2 CM, LUER LOCK, 30 CM LONG TUBE AND PLUG, SIZE: G 25, PEEL PACK PACKING, DISPOSABLE,
STERILE",EA,ITEMIZED,"8,55,076"
97,4222150500400,"NEEDLE, SCALP VEIN, 1-2 CM, LUER LOCK, 30 CM LONG TUBE AND PLUG, SIZE: G 27, PEEL PACK PACKING, DISPOSABLE,
STERILE",EA,ITEMIZED,"3,86,846"
98,5118150604500,"NEEDLE, INSULIN, FOR PEN, 31 G X 5 MM, DISPOSABLE, STERILE",EA,ITEMIZED,"1,01,28,487"
99,5118150604400,"NEEDLE, INSULIN, FOR PEN, 31 G X 6 MM, DISPOSABLE, STERILE",EA,ITEMIZED,"32,96,902"
100,4110410201000,"NEEDLE, INSULIN, FOR PEN, 31 G X 8 MM, DISPOSABLE, STERILE",EA,ITEMIZED,"23,45,865"
101,4214252306500,"NEEDLE, INSULIN, FOR PEN, 32 G X 4MM, DISPOSABLE, STERILE",EA,ITEMIZED,"2,96,91,377"
102,4214260800300,"SYRINGE, INJECTOR, 200 ML, AND COILED, LOW PRESSURE, CONNECTOR TUBE, AND PRIME TUBE, AND QUICK FILL TUBE, FRONT LOAD FOR MEDRAD OR EQUIVALENT, DISPOSABLE, STERILE",EA,ITEMIZED,"38,493"
103,4214260800100,"SYRINGE, INJECTOR, DUAL PACK, WITH 2 X 200 ML SYRINGE, WITH HANDI-FIL, AND 150 CM, COILED Y-TUBE, FOR OPTIVANTAGE CT INJECTOR OR EQUIVALENT, DISPOSABLE, STERILE",EA,ITEMIZED,"22,893"
104,4214260800000,"SYRINGE, INJECTOR, DUAL, 2 X 200 ML, AND COILED, LOW PRESSURE, CONNECTOR TUBE, AND PRIME TUBE, AND QUICK FILL TUBE, FRONT LOAD, FOR MEDRAD OR EQUIVALENT, DISPOSABLE, STERILE",EA,ITEMIZED,"2,10,569"
105,4214260800400,"SYRINGE, INJECTOR, MRI KIT, 65 ML, WITH SMALL SPIKE, FOR CONTRAST MEDIA, 115 ML, WITH LARGE SPIKE, FOR SALINE, LOW PRESSURE, CONNECTOR, FOR MEDRAD, MRI INJECTOR, DISPOSABLE, STERILE",EA,ITEMIZED,"40,980"
106,4214260800200,"SYRINGE, INJECTOR, MULTIPACK, WITH ONE SYRINGE, 200 ML, WITH HANDI-FIL, AND 150 CM, COILED TUBE, FOR OPTIVANTAGE CT INJECTOR OR EQUIVALENT, DISPOSABLE, STERILE",EA,ITEMIZED,"33,901"
107,4222161600500,ADAPTER DOUBLE LUER LOCK MALE DISPOSABLE STERILE,EA,ITEMIZED,"6,55,557"
108,4229531000600,"ADAPTER, LOCKING LUER MALE PLUG, SHORT, NON LATEX, NEEDLE FREE, NEUTRAL DISPLACEMENT, CLEAR PATH, COMPATIBLE WITH POWER INJECTION, INCOMPATIBLE WITH ENTERAL SYRINGES",PC,ITEMIZED,"39,60,000"
109,4222161600000,"ADAPTER MALE TO MALE LUER LOCK SET WITH SPECIAL ADAPTER TO CONVERT A FEMALE FITTING TO FEMALE LUER
LOCK DISPOSABLE STERILE",EA,ITEMIZED,"6,51,662"
110,4222161600300,ADAPTER MULTIPURPOSE FEMALE LUER LOCK TO TAPERED HOSE END FITS 10 - 20 FR DISPOSABLE STERILE,EA,ITEMIZED,"2,15,833"
111,4222161600100,ADAPTER MULTIPURPOSE FEMALE LUER LOCK TO TAPERED HOSE END FITS 20 - 40 FR DISPOSABLE STERILE,EA,ITEMIZED,"1,17,507"
112,4222161600200,ADAPTER MULTIPURPOSE MALE LUER LOCK TO TAPERED HOSE END FITS 20 - 40 FR DISPOSABLE STERILE,EA,ITEMIZED,"8,02,210"
113,4222161600400,ADAPTER TRANSPARENT DOUBLE FEMALE LUER LOCK DISPOSABLE STERILE,EA,ITEMIZED,"2,915"
114,4227250009100,"FEMALE TO FEMALE LUER LOCK SET WITH SPECIAL ADAPTER TO CONVERT A MALE FITTING TO MALE LUER LOCK
DISPOSABLE STERILE",EA,ITEMIZED,"75,475"
115,4222161001700,"LUER LOCK, PLUG, MALE/ FEMALE, DISPOSABLE, STERILE",EA,ITEMIZED,"99,11,761"
116,4218180500000,"TRANSDUCER, FOR OXIMETER NEONATAL PRESSURE LINE 30CC FLOW WITH 35CM, USE WITH CARDIAC MONITOR
STERILE",EA,ITEMIZED,"11,547"
117,4222161603500,"ADAPTER CONNECTOR, 1 FOR ADMINISTRATION SOLUTION AND 1 FOR DRUG, MULTI ADMINISTRATION OF MEDICINES, COLOR CODED PVC, LATEX FREE, FREE DEHP, DISPOSABLE, STERILE",EA,ITEMIZED,"4,00,000"
118,4222161603600,"ADAPTER CONNECTOR, 2 FOR ADMINISTRATION SOLUTION AND 1 FOR DRUG, MULTI ADMINISTRATION OF MEDICINES, COLOR CODED PVC, LATEX FREE, FREE DEHP, DISPOSABLE, STERILE",EA,ITEMIZED,"4,00,000"
119,4222161603700,"ADAPTER CONNECTOR, 3 FOR ADMINISTRATION SOLUTION AND 1 FOR DRUG, MULTI ADMINISTRATION OF MEDICINES, COLOR CODED PVC, LATEX FREE, FREE DEHP, DISPOSABLE, STERILE",EA,ITEMIZED,"19,500"
120,4222160404200,"ADAPTER CONNECTOR, 4 FOR ADMINISTRATION SOLUTION AND 1 FOR DRUG, MULTI ADMINISTRATION OF MEDICINES, COLOR CODED PVC, LATEX FREE, FREE DEHP, DISPOSABLE, STERILE",EA,ITEMIZED,500
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
121,4110411500600,"FILTER, LEUCOCYTE, 200 MICRONS, DISPOSABLE",EA,ITEMIZED,"33,990"
122,4214251100000,"CONNECTOR, NEEDLE FREE INTERMITTENT INJECTION, CLEAR PATHWAY, FLAT SURFACE, PVC/DEHP-FREE TUBING ROTATING LUER-LOCK CONNECTOR, PREVENTS BACKFLOW( NEUTRAL DISPLACEMENT), ROTATING LUER-LOCK CONNECTOR, STERILE PEEL PACK.",EA,ITEMIZED,"27,13,710"
123,4214260400000,"CAP, TIP, FOR SYRINGE LUER, LOCK AND LUER SLIP, LATEX FREE, STERILE.",EA,ITEMIZED,"15,00,000"
124,4227170500000,"CONNECTING TUBE, HIGH PRESSURE, FLOW RATE 3-5 ML/SEC, 120-150 CM, DISPOSABLE, STERILE",EA,ITEMIZED,"3,37,737"
125,4227170500100,"CONNECTING TUBE, HIGH PRESSURE FLOW RATE 3-5 ML/SEC, 180-200 CM, DISPOSABLE, STERILE",EA,ITEMIZED,"1,44,080"
126,4227160019200,"CONNECTOR DRAINAGE BAG, CONICAL, FEMALE / MALE LUER LOCK, DISPOSABLE STERILE",EA,ITEMIZED,500
127,4227160019400,"CONNECTOR, IV LUER LOCK, NEEDLE FREE, DISPOSABLE, STERILE",EA,ITEMIZED,"23,22,537"
128,4222160408200,CONNECTOR INFUSION ADAPTER CONNECTOR IV BAG TO NON- VENTED INFUSION SET,EA,ITEMIZED,"4,350"
